60389,T404
59774,T402
49325,X44
43552,T424
31095,T405
26788,T432
24542,T401
22904,T436
21333,T403
19092,T426
18671,X42
18659,F191
13826,F199
12376,T430
12336,T450
12274,T435
11851,F109
10520,I250
10311,F119
9672,T406
9226,X64
9053,I119
8676,I517
8603,F179
8179,J449
6486,T391
6415,X41
5867,E669
5713,I251
5262,T428
5183,Y14
5089,F149
5039,F101
4814,T407
4775,F111
4651,K746
4261,I10
4160,I469
3974,T433
3883,F139
3813,T427
3721,J439
3564,T423
3523,R522
3388,R568
3129,T481
3023,J180
2979,E149
2977,R092
2867,T179
2863,J189
2720,F102
2718,J459
2705,F159
2658,E668
2649,K760
2568,G931
2535,I499
2457,R99
2456,J969
2392,F329
2373,R688
2343,T483
2152,F141
2012,Y12
1973,T393
1965,I420
1824,R098
1695,T447
1669,K703
1661,J81
1633,T411
1632,X61
1586,T509
1446,B182
1443,F151
1398,I500
1324,F100
1299,T461
1279,K700
1279,I678
1273,T449
1205,T149
1184,M549
1130,J960
1088,I516
1076,I429
1066,F131
1060,J690
1050,T421
1039,R090
1031,T412
970,N179
952,N19
900,F319
862,K922
854,T465
831,A419
795,T390
788,X62
753,F419
749,Y11
722,R579
682,F192
672,K729
668,R55
659,T374
656,I422
655,I269
648,R068
616,I519
613,I219
613,F129
607,I259
604,R529
603,R402
599,R780
593,N189
578,S099
569,J984
566,I709
565,R160
556,R298
547,R570
506,T383
499,S068
489,I38
489,F112
484,I619
477,O95
475,X85
473,T505
473,T443
461,K709
439,K859
437,F121
436,I514
429,G473
425,K861
415,J448
414,E785
408,T476
408,F431
407,T434
401,M797
385,J181
383,T398
366,T413
365,F171
358,J440
358,I64
352,T438
351,I509
348,N185
347,T510
347,S062
343,I461
342,X40
340,F209
337,I330
336,E141
332,R458
332,E119
319,J841
318,Q245
310,B24
305,I48
300,J988
300,I639
291,K759
290,T141
286,R64
283,T420
283,R161
282,F181
278,E109
263,R788
259,R162
254,T378
254,K769
246,I802
242,I131
233,R739
231,N289
231,J80
230,K720
228,I258
224,E86
221,I518
216,R609
215,F059
210,S069
205,T372
203,T507
198,T410
198,C349
196,K509
195,I110
187,T07
184,N288
182,T462
182,K739
181,T300
179,S061
178,N390
178,L930
175,S066
175,E872
174,F322
173,K704
172,T484
171,T519
169,M069
168,F069
167,J159
167,G35
164,M545
160,R58
159,O993
158,G409
157,X60
157,S199
156,L039
155,Q231
155,K740
155,I120
155,F55
153,M628
153,J869
152,T093
152,J849
150,E142
146,R060
144,R509
142,R75
141,L031
140,D571
139,R784
139,O969
139,M321
136,I694
134,F142
130,T467
128,G936
127,T099
127,I609
126,E46
125,S619
125,S399
125,M548
125,I629
123,I739
122,I613
122,I255
121,T409
121,J40
120,F900
118,N180
117,I272
116,M726
115,N10
115,M199
112,O961
112,N12
109,R628
109,R53
108,R263
107,T178
106,S065
105,I490
103,T464
103,J850
102,E889
101,S223
101,R11
101,Q249
101,K659
101,F259
100,O96
100,G934
100,E780
99,Q613
99,J209
99,F54
99,B203
98,R18
96,I341
95,J152
94,R51
94,C80
93,T439
93,S299
93,M259
93,C509
92,J42
92,A490
91,I99
90,K319
89,K559
89,F161
88,J989
88,I426
87,K219
86,J852
86,I428
85,G439
84,N200
84,F172
84,E039
83,E878
83,E162
82,T502
82,M139
82,F09
82,D869
81,J961
81,E888
80,S370
80,R000
79,I959
79,I710
79,B171
78,I679
77,S250
77,R048
77,J432
77,I749
76,T494
76,T408
76,R451
76,I350
