6408,T402
5293,T404
3862,X44
3855,T424
2878,T432
2314,J449
2229,T426
2160,I250
1999,T405
1952,X42
1733,X64
1728,T401
1588,T436
1400,T403
1345,T450
1254,F199
1221,F191
1132,T391
1069,I119
1038,T430
958,F179
952,F109
809,T435
800,J439
798,F119
715,J969
714,T406
707,I251
693,X41
664,N179
639,I10
536,K746
508,R688
476,R522
474,J960
467,E149
431,T461
416,N19
416,I517
403,Y14
397,T428
366,R092
361,T447
352,J189
349,I469
344,X61
342,T423
339,T427
339,K922
338,I500
329,N189
320,T481
319,F101
311,R99
292,F149
281,F139
276,E669
272,R090
254,F329
250,T179
244,F111
244,F102
241,I48
223,R568
217,J180
215,R579
206,I499
203,N390
197,T433
196,F03
194,T483
189,G931
179,X62
177,R570
176,Y12
175,T390
174,J690
169,I516
156,F159
152,T393
152,I420
150,R001
149,K729
148,M549
146,T407
143,T149
135,J841
131,T383
129,K703
129,J459
127,I619
124,R58
122,J984
121,B182
114,M069
112,R098
110,K760
107,J440
107,I709
101,R529
101,N288
101,N185
101,I64
100,J849
98,J80
97,T465
94,T509
92,R628
88,K720
87,T441
87,R068
85,T449
83,I38
83,F141
82,R64
81,I259
80,C349
78,R578
77,Y11
76,E785
75,S720
74,J81
74,F151
71,I519
70,R048
70,I219
69,I429
68,E668
67,I629
66,I509
65,T462
64,R54
64,M199
62,T411
62,J961
60,T455
59,X40
59,S099
57,S068
57,I269
56,I678
56,I131
56,E119
55,T421
54,K700
54,A419
51,T460
51,R571
50,F100
49,T412
49,R000
49,M797
48,T378
47,T464
46,T451
45,T476
45,R53
45,I120
44,R458
44,I620
43,I802
43,F419
42,T420
42,F131
41,S062
41,R402
41,I639
40,R55
40,J448
40,I739
39,K709
39,F319
38,X60
38,N289
38,G309
37,X85
36,I694
35,S065
35,N180
35,E86
35,C80
34,K859
34,I110
34,C61
33,T141
33,F171
32,T374
32,K559
31,T398
31,R060
30,T413
30,T300
30,M139
30,K769
30,G20
29,S619
29,I959
29,E46
28,T505
28,M628
28,K219
28,I514
27,I422
27,E889
26,T443
26,R13
26,K767
26,I255
25,K704
25,I350
25,C189
24,N183
24,M480
24,F192
23,R739
23,K861
23,I679
23,I461
22,T502
22,R509
22,R410
22,M259
22,G934
22,F112
21,T434
21,S729
21,S370
21,S199
21,R780
21,N40
21,F322
21,F209
21,E872
21,E162
21,E142
21,C259
20,T381
20,S423
20,R064
20,M545
20,M513
20,J181
20,F431
20,E780
20,E141
20,C220
19,S223
19,R798
19,M819
19,C509
17,S069
17,R730
17,R298
17,J988
17,I615
17,I518
17,I490
16,T501
16,T466
16,T099
16,T07
16,K566
16,I258
16,G35
16,G122
16,E039
16,C859
15,T08
15,R630
15,R11
15,N039
15,K759
15,J939
15,E109
14,T372
14,S129
14,M109
14,J90
14,J432
14,I672
14,I609
14,F129
14,F121
13,Y10
13,X43
13,T484
13,R784
