Letter,First,Not_First,Only,W1,W2A,Anywhere,Mean_Ls
=== ALL ===,,,,,,,
B,17796602,13510161,7678693,17017825.0,16992191.0,31306763,1.853
C,12576466,1435404,5482941,9418788.6,8823374.9,14011870,1.957
N,10708481,18124458,4662437,13694047.7,14126663.8,28832939,1.856
R,5303862,9896044,1295750,6258623.0,6453666.3,15199906,2.235
E,2560585,6780460,156081,3224874.0,3391497.7,9341045,2.625
D,1731012,2394730,346257,1677399.1,1658949.4,4125742,2.525
V,1004208,165605,58208,574009.6,439902.3,1169813,3.065
P,1229766,241136,701531,1031165.2,983949.2,1470902,1.789
T,915063,2158279,453345,1339693.3,1428510.5,3073342,1.658
S,762121,1662187,168647,968615.8,1039691.5,2424308,1.925
A,676440,679715,155262,585516.3,567197.3,1356155,2.494
X,464693,417767,352,306011.3,281100.6,882460,2.974
F,654100,159415,161,355715.9,260290.9,813515,3.375
H,396530,4118,275,199240.3,167289.6,400648,2.512
U,206902,1075042,160,335306.0,372555.9,1281944,3.62
All,56986831,58704521,21160100,56986831.0,56986831.0,115691352,
,,,,,,,
=== LT65 ===,,,,,,,
B,3311687,2870974,1427809,3264397.8,3276271.4,6182661,1.864
C,3634924,217427,1706537,2729448.6,2572691.0,3852351,1.866
N,2085650,4228619,1017129,2924594.8,3052668.1,6314269,1.8
R,808320,2139295,175255,1110907.7,1175596.3,2947615,2.317
E,721155,1548828,66023,831469.2,854716.1,2269983,2.572
D,531999,854850,130223,570186.2,575932.1,1386849,2.385
V,248498,31601,15369,139808.0,105891.0,280099,3.063
P,1159365,205731,673252,973703.9,929968.8,1365096,1.762
T,744519,1271798,375902,1019979.5,1055978.2,2016317,1.617
S,621795,725600,129569,644953.3,659832.6,1347395,1.934
A,525985,515548,126220,456478.7,443758.9,1041533,2.446
X,292773,103083,245,164686.3,144837.6,395856,2.725
F,99661,14162,23,52314.4,39896.9,113823,3.118
H,376112,2709,256,188730.7,158508.9,378821,2.506
U,62828,506440,131,153611.8,178723.1,569268,3.275
All,15225271,15236665,5843943,15225271.0,15225271.0,30461936,
,,,,,,,
=== GE65 ===,,,,,,,
B,14484915,10639187,6250884,13753427.2,13715919.7,25124102,1.85
C,8941542,1217977,3776404,6689340.0,6250683.9,10159519,1.994
N,8622831,13895839,3645308,10769452.8,11073995.7,22518670,1.87
R,4495542,7756749,1120495,5147715.3,5278070.1,12252291,2.22
E,1839430,5231632,90058,2393404.8,2536781.6,7071062,2.647
D,1199013,1539880,216034,1107212.9,1083017.3,2738893,2.587
V,755710,134004,42839,434201.6,334011.3,889714,3.065
P,70401,35405,28279,57461.2,53980.4,105806,2.239
T,170544,886481,77443,319713.8,372532.2,1057025,1.836
S,140326,936587,39078,323662.5,379858.9,1076913,1.883
A,150455,164167,29042,129037.6,123438.3,314622,2.662
X,171920,314684,107,141324.9,136263.0,486604,3.399
F,554439,145253,138,303401.5,220394.0,699692,3.421
H,20418,1409,19,10509.6,8780.7,21827,2.616
U,144074,568602,29,181694.2,193832.9,712676,3.77
All,41761560,43467856,15316157,41761560.0,41761560.0,85229416,
,,,,,,,
