bucket,sex,race,overall,position,letter,count
ALL,f,UNKRACE,0,2,B,1891068
ALL,f,UNKRACE,0,2,E,744231
ALL,f,UNKRACE,0,2,D,318471
ALL,f,UNKRACE,0,2,R,1251987
ALL,f,UNKRACE,0,2,S,122147
ALL,f,UNKRACE,0,2,U,68253
ALL,f,UNKRACE,0,2,H,29262
ALL,f,UNKRACE,0,2,F,40604
ALL,f,UNKRACE,0,2,A,28801
ALL,f,UNKRACE,0,2,T,123133
ALL,f,UNKRACE,0,2,P,17710
ALL,f,UNKRACE,0,3,B,742815
ALL,f,UNKRACE,0,3,C,157181
ALL,f,UNKRACE,0,3,A,18157
ALL,f,UNKRACE,0,3,N,855441
ALL,f,UNKRACE,0,3,E,468688
ALL,f,UNKRACE,0,3,R,447830
ALL,f,UNKRACE,0,3,U,59733
ALL,f,UNKRACE,0,3,H,3347
ALL,f,UNKRACE,0,3,S,38619
ALL,f,UNKRACE,0,3,D,142900
ALL,f,UNKRACE,0,3,T,98334
ALL,f,UNKRACE,0,3,P,9292
ALL,f,UNKRACE,0,3,X,26240
ALL,f,UNKRACE,0,3,F,30611
ALL,f,UNKRACE,0,4,R,106775
ALL,f,UNKRACE,0,4,D,57611
ALL,f,UNKRACE,0,4,B,156781
ALL,f,UNKRACE,0,4,N,190992
ALL,f,UNKRACE,0,4,U,46185
ALL,f,UNKRACE,0,4,T,27781
ALL,f,UNKRACE,0,4,E,160758
ALL,f,UNKRACE,0,4,X,11034
ALL,f,UNKRACE,0,4,C,49717
ALL,f,UNKRACE,0,4,F,21706
ALL,f,UNKRACE,0,4,A,7943
ALL,f,UNKRACE,0,4,S,13266
ALL,f,UNKRACE,0,4,P,3753
ALL,f,UNKRACE,0,4,H,313
ALL,f,UNKRACE,0,5,U,22712
ALL,f,UNKRACE,0,5,R,18074
ALL,f,UNKRACE,0,5,B,27792
ALL,f,UNKRACE,0,5,F,8515
ALL,f,UNKRACE,0,5,N,31146
ALL,f,UNKRACE,0,5,X,4629
ALL,f,UNKRACE,0,5,C,9950
ALL,f,UNKRACE,0,5,E,31082
ALL,f,UNKRACE,0,5,D,14738
ALL,f,UNKRACE,0,5,S,3447
ALL,f,UNKRACE,0,5,T,5892
ALL,f,UNKRACE,0,5,A,2098
ALL,f,UNKRACE,0,5,P,1300
ALL,f,UNKRACE,0,5,H,103
ALL,f,UNKRACE,0,6,D,2577
ALL,f,UNKRACE,0,6,E,5610
ALL,f,UNKRACE,0,6,X,1245
ALL,f,UNKRACE,0,6,S,674
ALL,f,UNKRACE,0,6,B,4269
ALL,f,UNKRACE,0,6,U,5971
ALL,f,UNKRACE,0,6,T,974
ALL,f,UNKRACE,0,6,R,2564
ALL,f,UNKRACE,0,6,C,1682
ALL,f,UNKRACE,0,6,N,4277
ALL,f,UNKRACE,0,6,F,1998
ALL,f,UNKRACE,0,6,A,406
ALL,f,UNKRACE,0,6,P,275
ALL,f,UNKRACE,0,6,H,30
ALL,f,UNKRACE,0,7,C,294
ALL,f,UNKRACE,0,7,D,349
ALL,f,UNKRACE,0,7,X,218
ALL,f,UNKRACE,0,7,U,923
ALL,f,UNKRACE,0,7,R,311
ALL,f,UNKRACE,0,7,F,412
ALL,f,UNKRACE,0,7,N,559
ALL,f,UNKRACE,0,7,T,131
ALL,f,UNKRACE,0,7,B,505
ALL,f,UNKRACE,0,7,E,721
ALL,f,UNKRACE,0,7,S,119
ALL,f,UNKRACE,0,7,A,62
ALL,f,UNKRACE,0,7,P,46
ALL,f,UNKRACE,0,7,H,2
ALL,f,UNKRACE,0,8,N,44
ALL,f,UNKRACE,0,8,R,26
ALL,f,UNKRACE,0,8,E,75
ALL,f,UNKRACE,0,8,U,98
ALL,f,UNKRACE,0,8,A,13
ALL,f,UNKRACE,0,8,D,40
ALL,f,UNKRACE,0,8,X,30
ALL,f,UNKRACE,0,8,F,57
ALL,f,UNKRACE,0,8,S,14
ALL,f,UNKRACE,0,8,B,38
ALL,f,UNKRACE,0,8,C,35
ALL,f,UNKRACE,0,8,T,6
ALL,f,UNKRACE,0,8,H,2
ALL,f,UNKRACE,0,8,P,13
PLUS65,f,UNKRACE,0,1,B,3692967
PLUS65,f,UNKRACE,0,1,C,1741340
PLUS65,f,UNKRACE,0,1,N,2389161
PLUS65,f,UNKRACE,0,1,D,276782
PLUS65,f,UNKRACE,0,1,R,1163229
PLUS65,f,UNKRACE,0,1,S,83033
PLUS65,f,UNKRACE,0,1,A,9636
PLUS65,f,UNKRACE,0,1,E,339273
PLUS65,f,UNKRACE,0,1,X,31786
PLUS65,f,UNKRACE,0,1,P,7613
PLUS65,f,UNKRACE,0,1,T,56093
PLUS65,f,UNKRACE,0,1,U,18864
PLUS65,f,UNKRACE,0,1,F,38184
PLUS65,f,UNKRACE,0,1,H,484
PLUS65,f,UNKRACE,0,2,N,1975244
PLUS65,f,UNKRACE,0,2,C,256832
PLUS65,f,UNKRACE,0,2,B,1593847
PLUS65,f,UNKRACE,0,2,E,608207
PLUS65,f,UNKRACE,0,2,D,216982
PLUS65,f,UNKRACE,0,2,R,1045023
PLUS65,f,UNKRACE,0,2,U,42494
PLUS65,f,UNKRACE,0,2,F,35887
PLUS65,f,UNKRACE,0,2,X,41777
PLUS65,f,UNKRACE,0,2,S,83344
PLUS65,f,UNKRACE,0,2,A,5038
PLUS65,f,UNKRACE,0,2,T,53200
PLUS65,f,UNKRACE,0,2,P,2225
PLUS65,f,UNKRACE,0,2,H,2763
PLUS65,f,UNKRACE,0,3,B,614774
PLUS65,f,UNKRACE,0,3,N,694446
PLUS65,f,UNKRACE,0,3,E,390532
PLUS65,f,UNKRACE,0,3,R,365030
PLUS65,f,UNKRACE,0,3,U,42470
PLUS65,f,UNKRACE,0,3,S,33559
PLUS65,f,UNKRACE,0,3,D,106989
PLUS65,f,UNKRACE,0,3,C,130595
PLUS65,f,UNKRACE,0,3,A,3779
PLUS65,f,UNKRACE,0,3,T,64205
PLUS65,f,UNKRACE,0,3,X,18914
PLUS65,f,UNKRACE,0,3,F,28669
PLUS65,f,UNKRACE,0,3,P,1645
PLUS65,f,UNKRACE,0,3,H,407
PLUS65,f,UNKRACE,0,4,D,44665
PLUS65,f,UNKRACE,0,4,B,125277
PLUS65,f,UNKRACE,0,4,N,149778
PLUS65,f,UNKRACE,0,4,U,40343
PLUS65,f,UNKRACE,0,4,R,84130
PLUS65,f,UNKRACE,0,4,E,130879
PLUS65,f,UNKRACE,0,4,T,20444
PLUS65,f,UNKRACE,0,4,X,8489
PLUS65,f,UNKRACE,0,4,C,41679
PLUS65,f,UNKRACE,0,4,F,20425
