scheme,bucket,sex,race,letter,weight
3,PLUS65,f,UNKRACE,N,2670267.007948733
3,PLUS65,f,UNKRACE,C,1412424.442058526
3,PLUS65,f,UNKRACE,D,269533.00277871586
3,PLUS65,f,UNKRACE,E,542048.2206311973
3,PLUS65,f,UNKRACE,R,1222279.8638884833
3,PLUS65,f,UNKRACE,U,46298.33492063048
3,PLUS65,f,UNKRACE,S,68820.82817459987
3,PLUS65,f,UNKRACE,F,42939.52261904848
3,PLUS65,f,UNKRACE,A,7882.001190475163
3,PLUS65,f,UNKRACE,X,29862.401984127562
3,PLUS65,f,UNKRACE,P,6280.401190475875
3,PLUS65,f,UNKRACE,T,66189.34206347362
3,PLUS65,f,UNKRACE,H,1566.4821428571186
4,75-84,f,UNKRACE,B,1173486.8267193555
4,75-84,f,UNKRACE,N,841085.9186832642
4,75-84,f,UNKRACE,C,560320.0576462736
4,75-84,f,UNKRACE,R,420662.9386514448
4,75-84,f,UNKRACE,U,13010.389473845147
4,75-84,f,UNKRACE,S,21885.846421640217
4,75-84,f,UNKRACE,E,152820.93475354198
4,75-84,f,UNKRACE,D,89152.0094479328
4,75-84,f,UNKRACE,A,1994.0639208014252
4,75-84,f,UNKRACE,F,11480.212248863298
4,75-84,f,UNKRACE,X,8298.576479951818
4,75-84,f,UNKRACE,T,23364.513733392905
4,75-84,f,UNKRACE,P,2018.3834776334852
4,75-84,f,UNKRACE,H,463.32833000332573
4,ALL,f,UNKRACE,B,4227317.421854596
4,ALL,f,UNKRACE,N,3262127.8151039663
4,ALL,f,UNKRACE,C,2022708.5939993737
4,ALL,f,UNKRACE,E,532118.8206730863
4,ALL,f,UNKRACE,T,181696.17476475186
4,ALL,f,UNKRACE,U,57519.79112986569
4,ALL,f,UNKRACE,X,39589.70600489421
4,ALL,f,UNKRACE,A,38067.00326478844
4,ALL,f,UNKRACE,R,1354913.899895719
4,ALL,f,UNKRACE,D,349376.621309298
4,ALL,f,UNKRACE,S,135318.87023027558
4,ALL,f,UNKRACE,H,12668.516275394371
4,ALL,f,UNKRACE,F,39969.33013375034
4,ALL,f,UNKRACE,P,124897.43560841258
4,PLUS65,f,UNKRACE,B,3701072.259855348
4,PLUS65,f,UNKRACE,N,2686777.367017057
4,PLUS65,f,UNKRACE,C,1392300.8552759625
4,PLUS65,f,UNKRACE,D,249820.29875359673
4,PLUS65,f,UNKRACE,E,420192.67556296865
4,PLUS65,f,UNKRACE,R,1153604.8793629785
4,PLUS65,f,UNKRACE,U,37679.676581588494
4,PLUS65,f,UNKRACE,S,68511.39606154466
4,PLUS65,f,UNKRACE,F,36369.26870074633
4,PLUS65,f,UNKRACE,A,6825.640490064985
4,PLUS65,f,UNKRACE,X,24717.80388809439
4,PLUS65,f,UNKRACE,P,7166.20106502904
4,PLUS65,f,UNKRACE,T,62136.35705258004
4,PLUS65,f,UNKRACE,H,1270.3204878454894
1,85+,f,UNKRACE,B,2044382.0
1,85+,f,UNKRACE,C,451617.0
1,85+,f,UNKRACE,N,1385667.0
1,85+,f,UNKRACE,D,117425.0
1,85+,f,UNKRACE,E,134196.0
1,85+,f,UNKRACE,X,16269.0
1,85+,f,UNKRACE,R,513431.0
1,85+,f,UNKRACE,S,43297.0
1,85+,f,UNKRACE,T,18723.0
1,85+,f,UNKRACE,F,21899.0
1,85+,f,UNKRACE,U,5301.0
1,85+,f,UNKRACE,P,1149.0
1,85+,f,UNKRACE,A,675.0
1,85+,f,UNKRACE,H,98.0
2,85+,f,UNKRACE,B,1906456.1922662314
2,85+,f,UNKRACE,N,1463621.682739609
2,85+,f,UNKRACE,C,387368.78750010766
2,85+,f,UNKRACE,D,114444.93630958689
2,85+,f,UNKRACE,E,216680.1505949764
2,85+,f,UNKRACE,R,547310.242857651
2,85+,f,UNKRACE,X,15296.969047616669
2,85+,f,UNKRACE,S,38195.13214285615
2,85+,f,UNKRACE,U,16132.451785709021
2,85+,f,UNKRACE,T,21488.59047619192
2,85+,f,UNKRACE,F,25108.12857143236
2,85+,f,UNKRACE,A,686.2309523809517
2,85+,f,UNKRACE,P,1047.7214285714247
2,85+,f,UNKRACE,H,291.7833333333332
3,85+,f,UNKRACE,B,1893645.723392005
3,85+,f,UNKRACE,N,1464013.7269761465
3,85+,f,UNKRACE,C,377235.11150761065
3,85+,f,UNKRACE,D,113705.52301570578
3,85+,f,UNKRACE,E,233238.02896931014
3,85+,f,UNKRACE,R,549343.2841249586
3,85+,f,UNKRACE,X,14870.153571433933
3,85+,f,UNKRACE,S,37123.23849206048
3,85+,f,UNKRACE,U,20698.213888893533
3,85+,f,UNKRACE,T,23131.791269845842
3,85+,f,UNKRACE,F,25083.0130952369
3,85+,f,UNKRACE,A,691.3380952381
3,85+,f,UNKRACE,P,1039.6250000000161
3,85+,f,UNKRACE,H,310.22857142857094
4,85+,f,UNKRACE,B,2017516.3912294675
